application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,co_loaners,credit_score,existing_debt,DTI,LTV,CCR,ITI,CWI,synthetic_approved,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months,session_user_name,session_user_email,session_flagged,created_at
APP_0015,52,124484,0,83281,24,88111,0,340,35101,0.28197198033481985,0.9451827808105577,1.0579964217528481,0.027875402995742853,0.04164305585888089,0,0,0.28197198033481985,116,1,4,83281,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0016,55,61752,20,77828,24,115314,1,362,47029,0.7615785723539196,0.6749223858334575,1.4816518476640606,0.05251381871353419,0.11483612114844294,0,20,0.7615785723539196,153,0,3,77828,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0017,43,35699,29,32226,36,41444,1,578,38094,1.067088713969549,0.7775793842293028,1.2860423260720757,0.025075398936714642,0.0,0,29,1.067088713969549,72,0,3,32226,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0018,26,38012,3,34176,48,87269,0,702,26303,0.6919656950436522,0.3916167252976384,2.5535170880149067,0.0187309270752696,0.4785365564444937,0,3,0.6919656950436522,170,0,4,34176,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0019,57,85348,8,10152,12,14176,0,745,51658,0.6052631578947297,0.7161399548532226,1.3963750985026204,0.009912358812502811,0.15646385467215662,0,8,0.6052631578947297,117,0,4,10152,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0020,40,146851,15,19352,36,54597,0,542,28575,0.19458498750433983,0.35445170980089835,2.8212587846215986,0.003660550868163103,1.466869166773892,1,15,0.19458498750433983,33,0,0,19352,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0021,43,42222,27,53733,48,124259,0,657,56996,1.3499123679597995,0.4324274298038739,2.312526752647306,0.026513132963304726,0.0,0,27,1.3499123679597995,167,0,4,53733,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0022,37,86529,20,58911,36,63171,0,604,59682,0.6897340775924754,0.9325639929714437,1.072312471355077,0.018911771390183543,0.022436095626560775,0,20,0.6897340775924754,145,0,3,58911,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0023,29,120044,22,22319,60,22561,0,828,35341,0.2944003865249384,0.9892735251096587,1.0108427796943855,0.0030987249119250482,0.007650661161416535,1,22,0.2944003865249384,62,0,1,22319,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0024,61,52319,17,51776,36,57125,0,659,40475,0.7736195263670794,0.9063632385120192,1.1033104140914498,0.027489482256584496,0.023387460473243856,0,17,0.7736195263670794,103,0,1,51776,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0025,55,122418,12,73688,36,162986,1,529,15339,0.12530020095083955,0.45211245137618905,2.2118391054174054,0.016720489542649073,1.0599954219885364,1,12,0.12530020095083955,77,0,3,73688,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0026,49,66304,5,30210,24,78635,0,833,48878,0.7371802606177494,0.38418007248680125,2.6029460443560875,0.018984525819672013,0.4212858616214884,0,5,0.7371802606177494,103,0,1,30210,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0027,38,134169,25,42573,60,62884,0,358,40295,0.3003301805931303,0.6770084600216164,1.4770864162731903,0.005288479454927509,0.3338029667153611,1,25,0.3003301805931303,174,0,2,42573,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0028,57,103194,24,45998,24,124140,0,841,54153,0.524768881911734,0.37053326888995997,2.6988129918691532,0.01857262373057985,0.8073287975488642,1,24,0.524768881911734,163,1,3,45998,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0029,44,98832,0,62091,36,69198,1,384,16020,0.1620932491500712,0.8972947195005506,1.1144610329999338,0.017451331552048657,0.09590767225992658,0,0,0.1620932491500712,48,1,3,62091,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0030,40,48864,21,45867,36,119342,0,458,47255,0.9670718729534838,0.3843324227849342,2.6019142302744327,0.02607406952557949,0.05274803529209964,0,21,0.9670718729534838,175,1,4,45867,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0031,40,87532,2,89222,36,254781,0,751,28216,0.3223506831787195,0.35019094830462105,2.8555849454170175,0.028314089576612172,1.2574358705657052,0,2,0.3223506831787195,85,0,0,89222,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0032,30,140642,22,41316,36,105116,0,703,11110,0.07899489483937887,0.39305148597739265,2.5441959531415788,0.008160198707603554,1.4222123562117965,1,22,0.07899489483937887,130,0,1,41316,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0033,25,27635,24,53765,36,128833,0,833,10271,0.3716663651166864,0.41732320135368717,2.39622430949498,0.0540427798871244,0.8772946954974421,0,24,0.3716663651166864,140,0,4,53765,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0034,45,127400,3,47397,60,126832,0,712,33730,0.26475667189952695,0.37369906648164203,2.675949954638423,0.0062005494504460594,1.2322310223782125,0,3,0.26475667189952695,93,0,2,47397,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0035,60,91522,13,24401,36,26360,1,650,19166,0.2094141299359694,0.9256828528072486,1.0802835949345895,0.00740593032862831,0.06347107575329311,1,13,0.2094141299359694,88,0,1,24401,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0036,23,122127,3,83231,36,116820,0,490,6113,0.0500544515135879,0.7124721794213258,1.4035635760713987,0.018930885243705176,0.3833634226203025,0,3,0.0500544515135879,88,1,1,83231,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0037,58,114545,17,30547,24,38179,1,302,25628,0.22373739578331464,0.8000995311558501,1.2498445019150408,0.011111717374076761,0.19394494370583593,0,17,0.22373739578331464,156,0,1,30547,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0038,57,83332,27,37734,36,75809,2,368,39175,0.47010752172034187,0.49775092667096915,2.0090369428101447,0.012578201250870476,0.5346810863014181,0,27,0.47010752172034187,76,0,2,37734,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0039,33,66670,2,95751,36,238456,0,463,19136,0.2870256487175598,0.40154577783741907,2.490376079623163,0.03989425528612686,1.0625999185362018,0,2,0.2870256487175598,59,0,1,95751,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0040,48,109686,11,114016,12,257678,0,322,57320,0.5225826450048272,0.44247471650664616,2.260016138085863,0.08662302693635895,0.6015535718961911,0,11,0.5225826450048272,72,0,3,114016,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0041,28,43930,29,81488,12,220201,0,579,46772,1.0646938310948997,0.37006189799319544,2.7022506381307343,0.1545792548622951,0.0,0,29,1.0646938310948997,44,0,2,81488,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0042,54,103853,9,110212,36,144424,1,727,30763,0.29621676793159274,0.7631141638508783,1.310419917976252,0.02947863272471065,0.21846833317174771,0,9,0.29621676793159274,77,0,3,110212,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0043,51,37783,3,102940,36,254183,0,829,56079,1.4842389434401324,0.4049838108764142,2.469234505537182,0.075680714722625,0.0,0,3,1.4842389434401324,31,1,0,102940,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0044,36,112729,14,59266,36,82147,0,569,25978,0.23044646896539284,0.7214627436181391,1.3860729592008676,0.014603853291806308,0.2971038089900298,0,14,0.23044646896539284,27,0,3,59266,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0045,23,109880,15,93123,12,143550,0,781,8380,0.0762650163815064,0.6487147335423152,1.5415096163138908,0.07062477247318204,0.500211376554985,1,15,0.0762650163815064,133,0,4,93123,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0046,63,36399,19,41418,24,100223,1,842,2150,0.0590675568010094,0.41325843369286075,2.4197933265729294,0.047412016811671925,1.335929603609921,0,19,0.0590675568010094,25,2,0,41418,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0047,40,127260,9,56878,24,168382,0,772,56281,0.44225208235108876,0.3377914503925578,2.9604064840535367,0.01862263607235503,1.0934126342262966,0,9,0.44225208235108876,107,2,1,56878,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0048,60,81133,28,65645,48,145934,0,555,57586,0.7097728421234182,0.44982663395781347,2.2230786807829657,0.016856324388820308,0.3549706493830856,0,28,0.7097728421234182,143,0,3,65645,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0049,50,131229,15,115377,48,127953,0,478,44355,0.337996936652719,0.9017139105765327,1.108999193946791,0.018316740201860145,0.07215780029517092,0,15,0.337996936652719,133,0,3,115377,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0050,55,30617,8,102281,24,228354,2,837,6180,0.20184864617695392,0.4479054450546063,2.2326140729949624,0.13919418405316075,0.9838125911022795,0,8,0.20184864617695392,86,0,3,102281,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0051,54,49226,28,60242,36,65344,0,433,17619,0.3579206110591891,0.9219209108716804,1.0846917433019974,0.03399400497384252,0.05437882278769882,0,28,0.3579206110591891,44,0,2,60242,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0052,29,91688,27,79352,12,219669,0,526,2464,0.026873745746444168,0.36123440266946927,2.7682856134690645,0.07212139719609478,1.7207651554856187,0,27,0.026873745746444168,168,0,3,79352,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0053,37,50410,14,26675,24,64531,1,340,3074,0.06097996429279784,0.41336721885604727,2.4191565135894124,0.02204837003148186,1.3326164000648884,0,14,0.06097996429279784,152,0,3,26675,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0054,41,69531,0,97113,12,130738,1,736,14763,0.2123225611597674,0.7428062231332838,1.3462461256474276,0.1163905308326572,0.27273026145833335,0,0,0.2123225611597674,114,0,0,97113,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0055,42,114180,17,67705,24,80124,0,657,34328,0.3006480994920275,0.8450027457440861,1.183428107229877,0.02470696852819319,0.12828079539781367,0,17,0.3006480994920275,26,0,3,67705,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0056,22,44510,16,65328,36,89307,0,346,3931,0.08831723208267607,0.7314992105881876,1.3670554739162173,0.040769864448802935,0.33463815043916617,1,16,0.08831723208267607,17,1,2,65328,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0057,45,116489,4,92655,60,274263,1,422,59076,0.5071380130312689,0.3378326642675084,2.96004532944792,0.013256616504341606,0.96603183562049,0,4,0.5071380130312689,64,0,0,92655,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0058,27,38959,19,77051,24,147716,1,605,27307,0.700916347955525,0.5216158032982174,1.9171198297231453,0.08240607647012198,0.2742955480360112,0,19,0.700916347955525,38,1,2,77051,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0059,53,48649,25,11478,36,29477,0,597,15830,0.3253920943904227,0.3893883366692544,2.568130336295298,0.00655374896348271,1.0578731218910946,0,25,0.3253920943904227,156,3,2,11478,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0060,51,104332,3,36714,36,83444,0,741,30965,0.2967929302610867,0.4399837016442112,2.2728114615677324,0.009774885301776972,0.8950500182191761,0,3,0.2967929302610867,46,0,0,36714,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0061,61,132120,21,23676,60,50780,1,446,47409,0.35883287920072393,0.4662465537613142,2.1447879709409468,0.0029866787768197123,0.7340004072538918,0,21,0.35883287920072393,59,0,4,23676,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0062,53,48030,4,88982,36,114809,1,808,18754,0.3904642931501064,0.7750437683456805,1.2902497134251725,0.05146204918079351,0.17691756423560379,0,4,0.3904642931501064,175,0,1,88982,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0063,37,65499,22,7112,24,20568,1,544,2850,0.04351211468877321,0.3457798521975717,2.8920134983123043,0.004524242100199722,1.809687989981213,1,22,0.04351211468877321,149,1,1,7112,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0064,63,149891,12,26681,36,42761,0,752,3057,0.020394820236038055,0.6239564088772334,1.6026760616168207,0.004944518942887144,0.5903845916796421,1,12,0.020394820236038055,48,0,2,26681,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0065,39,158607,0,72901,24,157177,0,431,51119,0.322299772393398,0.46381468026492134,2.156033524917324,0.01915137204877517,0.7834441829573465,0,0,0.322299772393398,76,0,4,72901,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0066,35,103443,28,84291,60,202260,1,320,6696,0.06473130129636549,0.4167457727677227,2.399544435348941,0.013580909292814133,1.308950102826733,1,28,0.06473130129636549,98,0,3,84291,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0067,60,85350,4,61886,24,142242,1,330,38133,0.4467838312829473,0.435075434822342,2.298451992373036,0.030211872679857782,0.7183246364836475,0,4,0.4467838312829473,123,0,3,61886,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0068,37,71827,17,103704,36,298790,1,504,23070,0.3211884110431965,0.34707988888516905,2.88118105376839,0.040105624160644435,1.2769675002239635,0,17,0.3211884110431965,169,0,1,103704,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0069,24,107681,5,110515,12,143324,0,824,46651,0.4332333466442507,0.7710850939130867,1.296873727548285,0.08552653980336161,0.16825812903179702,0,5,0.4332333466442507,158,1,4,110515,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0070,41,104773,27,18456,36,37220,0,326,3631,0.03465587508232049,0.4958624395486165,2.0166883398351745,0.004893118137806697,0.9814541157322733,1,27,0.03465587508232049,176,1,4,18456,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0071,56,64791,22,114443,48,206920,1,502,53867,0.8313963359108391,0.5530784844384277,1.8080616551470878,0.036798770919062196,0.13624215586775332,0,22,0.8313963359108391,18,0,2,114443,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0072,29,28078,24,74882,36,145895,0,360,41891,1.491950993660464,0.5132595359676445,1.948332042413371,0.07408132899414853,0.0,0,24,1.491950993660464,51,0,2,74882,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0073,41,45452,12,77437,36,95900,2,812,26956,0.5930652116518395,0.8074765380604713,1.2384260753903011,0.04732526132442973,0.09702386452564431,0,12,0.5930652116518395,106,1,0,77437,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0074,26,154405,14,14126,60,17914,0,671,12421,0.08044428613062997,0.7885452718543715,1.2681580065127234,0.0015247779108798806,0.24658622710871103,1,14,0.08044428613062997,20,1,3,14126,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0075,51,81450,19,75759,48,117892,1,719,58628,0.719803560466535,0.6426135785294961,1.5561451444712633,0.01937768569634253,0.15582988934467856,0,19,0.719803560466535,71,0,4,75759,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0076,41,90110,23,87908,24,141479,1,692,18124,0.2011319498390833,0.6213501650421573,1.609398462028466,0.04064846668716762,0.4868289611317568,1,23,0.2011319498390833,37,1,2,87908,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0077,35,88059,25,70952,36,131673,0,661,29430,0.33420774707865936,0.538850029998553,1.8558039237794304,0.022381458894992216,0.5697876224720446,1,25,0.33420774707865936,168,0,2,70952,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0078,30,130669,0,12885,36,28630,0,725,23647,0.18096870719145183,0.45005239259516416,2.2219635234767385,0.0027391092505240095,1.000826364398134,0,0,0.18096870719145183,22,1,2,12885,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0079,45,33769,19,64217,36,145724,0,304,13833,0.40963605673841663,0.4406755235925418,2.269243346777298,0.05282376012040489,0.7493155071619881,0,19,0.40963605673841663,36,0,0,64217,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0080,50,36168,3,112504,24,205164,0,776,24996,0.6911081619110626,0.5483613109512364,1.823615160349838,0.12960812504067734,0.25440800075838055,0,3,0.6911081619110626,44,0,3,112504,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0081,62,62239,8,87639,24,159289,0,706,9089,0.1460338373045816,0.5501886508170649,1.8175583929528882,0.058671010135892133,0.6981672036094261,0,8,0.1460338373045816,36,0,3,87639,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0082,40,90698,24,19076,60,27378,0,706,99,0.0010915345432093199,0.6967638249689277,1.435206542251969,0.0035054062198508337,0.4347314992777593,1,24,0.0010915345432093199,107,1,4,19076,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0083,28,115601,7,115312,60,250989,1,516,17399,0.15050907864118693,0.4594304929698096,2.1766078118495717,0.01662500036015795,0.9995176541660804,0,7,0.15050907864118693,73,0,4,115312,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0084,57,91245,23,115188,48,188226,0,740,6724,0.07369170913474629,0.6119664658442479,1.6340764662985585,0.026300071236231893,0.5873502877749104,0,23,0.07369170913474629,165,1,2,115188,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0085,48,84557,13,22819,60,24464,0,510,24886,0.2943103468666072,0.9327583387834805,1.072089048599804,0.004497754966003093,0.050872495701171805,0,13,0.2943103468666072,55,0,4,22819,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0086,51,151606,6,96703,36,177624,0,326,51765,0.3414442700156964,0.5444253028869942,1.8367992719977473,0.017718259464465855,0.5510789554208209,0,6,0.3414442700156964,102,0,2,96703,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0087,25,46737,10,50585,48,98553,0,799,9754,0.20869974538373862,0.5132771199253141,1.948265296036336,0.02254860531580309,0.7503625701973409,0,10,0.20869974538373862,122,1,3,50585,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0088,34,102183,15,72460,48,105152,0,428,73,0.0007144045487018319,0.6890976871576319,1.4511730609991518,0.014773331506237525,0.4508507409121457,1,15,0.0007144045487018319,117,0,3,72460,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0089,54,98203,22,55086,36,118154,0,356,6665,0.06786961701780936,0.4662220491900362,2.144900700722468,0.015581669262895701,1.067196728641037,0,22,0.06786961701780936,145,0,4,55086,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0090,57,88921,18,94567,36,201573,0,642,30490,0.3428886314818733,0.46914517321267996,2.1315363710385005,0.029541515626658646,0.743545413301154,0,18,0.3428886314818733,45,1,3,94567,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0091,40,134025,27,119609,24,287540,0,428,16490,0.12303674687558201,0.41597342978368085,2.4039996990192845,0.03718491574799957,1.231256143437666,0,27,0.12303674687558201,97,0,0,119609,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0092,56,61041,26,96028,36,220470,2,771,29370,0.48115201258169954,0.4355603937043569,2.29589286458114,0.043699225837884464,0.6723714046976685,0,26,0.48115201258169954,146,1,0,96028,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0093,58,153759,22,111970,24,258075,0,544,1754,0.011407462327408403,0.4338661241887032,2.3048584442261113,0.030342397300140118,1.2899733206810138,1,22,0.011407462327408403,156,0,2,111970,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0094,38,69761,18,113685,24,185582,0,302,19985,0.286478118146238,0.6125863499692825,1.6324229229889462,0.06790147790029619,0.4512475941385399,0,18,0.286478118146238,115,0,2,113685,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0095,60,98575,8,13542,36,34868,1,823,24608,0.2496373319807228,0.38837902948260905,2.5748043125090403,0.0038160453122618693,1.1816743655426238,1,8,0.2496373319807228,121,0,3,13542,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0096,33,95290,12,32645,36,68498,1,583,25879,0.27158148808898863,0.4765832579053333,2.0982692602235535,0.009516271964847908,0.7999996602096812,0,12,0.27158148808898863,157,0,2,32645,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0097,31,139720,3,87457,24,162918,0,444,33069,0.23668050386487094,0.5368160669784767,1.862835450564256,0.026081031108751828,0.6586191213722483,0,3,0.23668050386487094,116,1,2,87457,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0098,51,84253,11,72038,48,162231,0,672,46834,0.5558733813632682,0.44404583587600127,2.252019767344981,0.017812916651459086,0.5560553057372828,0,11,0.5558733813632682,171,0,4,72038,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0099,49,63415,27,8867,48,15262,0,591,28033,0.4420562958290556,0.5809854540688912,1.7212134882145345,0.002913020053028704,0.4023965251125647,1,27,0.4420562958290556,33,1,1,8867,48,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0100,27,27917,12,14120,24,28599,0,316,50472,1.8079306515742448,0.49372355676770185,2.025424929178327,0.021074375230461666,0.0,0,12,1.8079306515742448,70,0,2,14120,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0101,57,74096,3,63904,12,158060,0,717,31784,0.4289570287194932,0.4043021637352879,2.473397596394553,0.07187072625903534,0.8413733413227149,0,3,0.4289570287194932,30,1,2,63904,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0102,29,136549,19,75091,24,208212,0,520,15620,0.11439117093497489,0.3606468407200336,2.7727956745814706,0.02291332537430723,1.5700035015376537,1,19,0.11439117093497489,27,0,2,75091,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
